,url,product_name,brands,countries,image_url,image_small_url,energy-kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,categories_tags
1418164,http://world-en.openfoodfacts.org/product/5900344901825/marynowane-krojone-filety-bez-skory-ze-%C5%9Bledzia-atlantyciego-z-suszonymi-pomidorami-w-oleju-lisner,"Marynowane, krojone filety bez skóry ze śledzia atlantyciego z suszonymi pomidorami w oleju.",Lisner,Polska,https://images.openfoodfacts.org/images/products/590/034/490/1825/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/034/490/1825/front_pl.4.200.jpg,304.0,27.8,4.7,4.0,8.5,3.0,"en:seafood,en:fishes"
1418165,http://world-en.openfoodfacts.org/product/5900344901832/marynowane-krojone-filety-bez-skorki-ze-%C5%9Bledzia-atlantyckiego-z-ogorkiem-konserwowym-i-czosnkiem-w-oleju-rzepakowym-lisner,"Marynowane, krojone filety bez skórki ze śledzia atlantyckiego z ogórkiem konserwowym i czosnkiem w oleju rzepakowym.",Lisner,Polska,https://images.openfoodfacts.org/images/products/590/034/490/1832/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/034/490/1832/front_pl.4.200.jpg,293.0,26.3,5.2,3.7,8.7,2.8,"en:seafood,en:fishes"
1418166,http://world-en.openfoodfacts.org/product/5900344902266/%C5%9Bledzik-na-raz-pikantny-lisner,Śledzik na raz Pikantny,Lisner,Polska,https://images.openfoodfacts.org/images/products/590/034/490/2266/front_pl.6.400.jpg,https://images.openfoodfacts.org/images/products/590/034/490/2266/front_pl.6.200.jpg,275.0,25.0,3.8,3.6,8.5,2.9,"en:seafood,en:fishes,pl:śledzie"
1418168,http://world-en.openfoodfacts.org/product/5900352000268/herbatniki-ekstra-grube-jutrzenka,Herbatniki ekstra grube,"Jutrzenka,Colian",Polska,https://images.openfoodfacts.org/images/products/590/035/200/0268/front_pl.6.400.jpg,https://images.openfoodfacts.org/images/products/590/035/200/0268/front_pl.6.200.jpg,438.0,11.0,75.0,25.0,7.1,0.29,pl:herbatniki
1418175,http://world-en.openfoodfacts.org/product/5900352002361/je%C5%BCyki-classic,Jeżyki Classic,,Polska,https://images.openfoodfacts.org/images/products/590/035/200/2361/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/590/035/200/2361/front_en.7.200.jpg,476.0,22.0,61.0,51.0,5.7,0.51,
1418182,http://world-en.openfoodfacts.org/product/5900352004044/je%C5%BCyki-kokos-goplana,Jeżyki Kokos,Goplana,Polska,https://images.openfoodfacts.org/images/products/590/035/200/4044/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/200/4044/front_pl.4.200.jpg,492.0,25.0,60.0,32.0,5.6,0.44,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies,pl:ciastka"
1418183,http://world-en.openfoodfacts.org/product/5900352004181/dra%C5%BCe-chi%C5%84skie-w-czekoladzie-jutrzenka,Draże chińskie w czekoladzie,"Jutrzenka,Colian",Polska,https://images.openfoodfacts.org/images/products/590/035/200/4181/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/200/4181/front_pl.4.200.jpg,488.0,22.0,58.0,58.0,12.0,0.02,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons"
1418188,http://world-en.openfoodfacts.org/product/5900352004891/gorzka-goplana,Gorzka,Goplana,Poland,https://images.openfoodfacts.org/images/products/590/035/200/4891/front_pl.15.400.jpg,https://images.openfoodfacts.org/images/products/590/035/200/4891/front_pl.15.200.jpg,505.0,32.0,40.0,36.0,8.0,0.02,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:products-without-gluten,en:dark-chocolates,en:extra-fine-dark-chocolates"
1418190,http://world-en.openfoodfacts.org/product/5900352007151/herbatnik-z-karmelem-32-orzechami-laskowymi-i-chrupkami-ry%C5%BCowymi-w-czekoladzie-mlecznej-je%C5%BCyki,"Herbatnik z karmelem 32%, orzechami laskowymi i chrupkami ryżowymi w czekoladzie mlecznej.","Jeżyki,Goplana",Polska,https://images.openfoodfacts.org/images/products/590/035/200/7151/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/200/7151/front_pl.4.200.jpg,474.0,22.0,63.0,43.0,5.7,0.55,"en:snacks,en:sweet-snacks"
1418199,http://world-en.openfoodfacts.org/product/5900352010076/herbatnik-z-karmelem-37-3-wiorkami-kokosowymi-orzechami-laskowymi-i-chrupkami-ry%C5%BCowymi-w-czekoladzie-mlecznej-je%C5%BCyki,"Herbatnik z karmelem 37,3%, wiórkami kokosowymi, orzechami laskowymi i chrupkami ryżowymi w czekoladzie mlecznej.","Jeżyki,Colian,Goplana",Polska,https://images.openfoodfacts.org/images/products/590/035/201/0076/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/201/0076/front_pl.4.200.jpg,486.0,24.0,59.0,34.0,5.6,0.51,"en:snacks,en:sweet-snacks"
1418207,http://world-en.openfoodfacts.org/product/5900352013305/czekolada-mleczna-goplana,Czekolada mleczna,Goplana,Polska,https://images.openfoodfacts.org/images/products/590/035/201/3305/front_pl.5.400.jpg,https://images.openfoodfacts.org/images/products/590/035/201/3305/front_pl.5.200.jpg,530.0,30.0,56.0,55.0,8.0,0.2,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates"
1418218,http://world-en.openfoodfacts.org/product/5900352015057/zelko-pianki,Zelko pianki,,Polska,https://images.openfoodfacts.org/images/products/590/035/201/5057/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/590/035/201/5057/front_fr.3.200.jpg,330.0,0.5,82.0,56.0,0.5,0.54,
1418263,http://world-en.openfoodfacts.org/product/5900354036906/makaron-%C5%9Bwiderki-pastani,Makaron Świderki,"Pastani,Makarony Polskie,Biedronka",Polska,https://images.openfoodfacts.org/images/products/590/035/403/6906/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/403/6906/front_pl.4.200.jpg,358.0,1.6,70.0,3.8,15.0,0.01,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas"
1418266,http://world-en.openfoodfacts.org/product/5900354037934/makaron-cavatappi-pastani,Makaron Cavatappi,"Pastani,Biedronka",Polska,https://images.openfoodfacts.org/images/products/590/035/403/7934/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/403/7934/front_pl.4.200.jpg,358.0,1.6,70.0,3.8,15.0,0.01,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas"
1418267,http://world-en.openfoodfacts.org/product/5900354038221/makaron-spaghetti-nr-79-sorenti,Makaron spaghetti nr 79,Sorenti,Poland,https://images.openfoodfacts.org/images/products/590/035/403/8221/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/035/403/8221/front_pl.4.200.jpg,358.0,1.6,70.0,3.8,15.0,0.01,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:durum-wheat-pasta,en:spaghetti,en:durum-wheat-spaghetti"
1418282,http://world-en.openfoodfacts.org/product/5900385012573/ketchup-mild-kotlin,Ketchup mild,Kotlin,Poland,,,102.0,0.5,23.0,23.0,1.4,2.0,"en:groceries,en:sauces,en:tomato-sauces,en:ketchup"
1418285,http://world-en.openfoodfacts.org/product/5900385500391/hot-ketchup-kotlin,Hot ketchup,Kotlin,Poland,https://images.openfoodfacts.org/images/products/590/038/550/0391/front_en.19.400.jpg,https://images.openfoodfacts.org/images/products/590/038/550/0391/front_en.19.200.jpg,99.0,0.5,22.0,22.0,1.3,2.2,"en:groceries,en:sauces,en:tomato-sauces,en:ketchup"
1418290,http://world-en.openfoodfacts.org/product/5900394006167/wafel-przek%C5%82adany-kremem-kakaowym-w-czekoladzie-grze%C5%9Bki,Wafel przekładany kremem kakaowym w czekoladzie,"Grześki,Goplana",Polska,https://images.openfoodfacts.org/images/products/590/039/400/6167/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/400/6167/front_pl.4.200.jpg,522.0,29.0,54.0,32.0,10.0,0.28,"en:snacks,en:sweet-snacks"
1418291,http://world-en.openfoodfacts.org/product/5900394006181/wafel-przek%C5%82adany-kremem-o-smaku-toffi-w-czekoladzie-mlecznej-grze%C5%9Bki,Wafel przekładany kremem o smaku toffi w czekoladzie mlecznej,"Grześki,Goplana",Polska,https://images.openfoodfacts.org/images/products/590/039/400/6181/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/400/6181/front_pl.4.200.jpg,530.0,29.0,58.0,35.0,7.8,0.32,"en:snacks,en:sweet-snacks"
1418295,http://world-en.openfoodfacts.org/product/5900394006518/mega-grze%C5%9Bki-toffi-goplana,Mega Grześki Toffi,Goplana,Polska,https://images.openfoodfacts.org/images/products/590/039/400/6518/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/400/6518/front_pl.4.200.jpg,528.0,29.0,59.0,31.0,7.8,0.3,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies,pl:wafelki"
1418297,http://world-en.openfoodfacts.org/product/5900394006570/wafel-przek%C5%82adany-kremem-kakaowym-goplana,Wafel przekładany kremem kakaowym.,Goplana,Polska,https://images.openfoodfacts.org/images/products/590/039/400/6570/front_pl.6.400.jpg,https://images.openfoodfacts.org/images/products/590/039/400/6570/front_pl.6.200.jpg,518.0,28.0,54.0,27.0,11.0,0.4,"en:snacks,en:sweet-snacks"
1418300,http://world-en.openfoodfacts.org/product/5900394007577/wafel-przek%C5%82adany-kremem-orzechowym-w-czekoladzie-mlecznej-goplana,Wafel przekładany kremem orzechowym w czekoladzie mlecznej.,"Goplana,Grześki",Polska,https://images.openfoodfacts.org/images/products/590/039/400/7577/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/400/7577/front_pl.4.200.jpg,535.0,31.0,54.0,35.0,9.0,0.32,pl:wafelki
1418391,http://world-en.openfoodfacts.org/product/5900397012844/confiture-from-blackcurrant-%C5%82owicz,Confiture from blackcurrant,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/701/2844/front_pl.14.400.jpg,https://images.openfoodfacts.org/images/products/590/039/701/2844/front_pl.14.200.jpg,158.0,0.5,36.0,36.0,0.8,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
1418393,http://world-en.openfoodfacts.org/product/5900397016224/spaghetti-%C5%82owicz,Spaghetti,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/701/6224/front_pl.17.400.jpg,https://images.openfoodfacts.org/images/products/590/039/701/6224/front_pl.17.200.jpg,81.0,2.0,14.0,12.0,1.6,0.95,"pl:sos,pl:sos-pomidorowy"
1418396,http://world-en.openfoodfacts.org/product/5900397016439/sweet-and-sour-sauce-%C5%82owicz,Sweet and sour sauce,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/701/6439/front_pl.14.400.jpg,https://images.openfoodfacts.org/images/products/590/039/701/6439/front_pl.14.200.jpg,45.0,0.0,10.0,9.0,1.0,0.725,"en:groceries,en:sauces"
1418398,http://world-en.openfoodfacts.org/product/5900397016590/sos-bolo%C5%84ski-%C5%82owicz,Sos Boloński,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/701/6590/front_pl.12.400.jpg,https://images.openfoodfacts.org/images/products/590/039/701/6590/front_pl.12.200.jpg,47.0,0.9,7.6,6.5,1.2,0.7,"pl:sosy-do-makaronu,pl:sosy-pomidorowe"
1418400,http://world-en.openfoodfacts.org/product/5900397731202/%C5%82owicz-dzika-ro%C5%BCa,Łowicz Dzika róża,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/1202/front_pl.7.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/1202/front_pl.7.200.jpg,260.0,0.3,60.8,60.8,3.2,0.0,en:syrups
1418405,http://world-en.openfoodfacts.org/product/5900397731387/blackcurrant-jam-%C5%82owicz,Blackcurrant jam,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/1387/front_pl.16.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/1387/front_pl.16.200.jpg,132.0,0.5,28.0,28.0,1.1,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
1418406,http://world-en.openfoodfacts.org/product/5900397731554/krakus-chrzan-190g,Krakus Chrzan 190G,Krakus,Polska,https://images.openfoodfacts.org/images/products/590/039/773/1554/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/1554/front_fr.4.200.jpg,157.0,9.8,12.0,9.5,2.7,1.4,
1418409,http://world-en.openfoodfacts.org/product/5900397732834/d%C5%BCem-truskawkowy-niskos%C5%82odzony-%C5%82owicz,Dżem truskawkowy niskosłodzony.,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/2834/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/2834/front_pl.4.200.jpg,142.0,0.5,35.0,35.0,0.5,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
1418415,http://world-en.openfoodfacts.org/product/5900397734357/barszcz-czerwony-krakus,Barszcz czerwony,Krakus,Polska,https://images.openfoodfacts.org/images/products/590/039/773/4357/front_en.22.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/4357/front_en.22.200.jpg,34.0,0.1,7.1,7.0,1.0,1.1,"en:meals,en:soups"
1418416,http://world-en.openfoodfacts.org/product/5900397734401/%C5%BCurek-krakus,Żurek,Krakus,Polska,https://images.openfoodfacts.org/images/products/590/039/773/4401/front_en.21.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/4401/front_en.21.200.jpg,25.0,0.6,3.7,1.6,0.9,1.3,"en:meals,en:soups,pl:danie-gotowe,pl:zupa"
1418422,http://world-en.openfoodfacts.org/product/5900397734838/fasolka-po-breto%C5%84sku-z-boczkiem-i-kie%C5%82bas%C4%85-%C5%82owicz,Fasolka po bretońsku z boczkiem i kiełbasą,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/4838/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/4838/front_pl.4.200.jpg,87.0,2.5,9.4,2.9,4.5,1.0,"en:meals,en:soups,pl:danie-gotowe"
1418423,http://world-en.openfoodfacts.org/product/5900397734944/go%C5%82%C4%85bki-w-sosie-pomidorowym-%C5%82owicz,Gołąbki w sosie pomidorowym,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/4944/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/4944/front_pl.4.200.jpg,71.0,2.6,8.3,1.3,3.0,0.6,"pl:danie-gotowe,pl:zupa"
1418424,http://world-en.openfoodfacts.org/product/5900397734999/klopsy-w-sosie-pomidorowym-%C5%82owicz,Klopsy w sosie pomidorowym,"Łowicz,Agro Nova",Polska,https://images.openfoodfacts.org/images/products/590/039/773/4999/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/4999/front_pl.4.200.jpg,93.0,4.5,8.5,1.5,4.3,1.2,"pl:danie-gotowe,pl:zupa"
1418425,http://world-en.openfoodfacts.org/product/5900397735026/kocio%C5%82ek-ch%C5%82opski-%C5%82owicz,Kociołek chłopski,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5026/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5026/front_pl.4.200.jpg,57.0,1.8,6.6,2.5,2.5,1.3,"en:meals,en:soups,pl:danie-gotowe"
1418426,http://world-en.openfoodfacts.org/product/5900397735057/kocio%C5%82ek-bolo%C5%84ski-%C5%82owicz,Kociołek Boloński,"Łowicz,Agros Nova Foods",Polska,https://images.openfoodfacts.org/images/products/590/039/773/5057/front_en.15.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5057/front_en.15.200.jpg,71.0,1.8,9.9,3.1,3.0,1.1,"pl:danie-gotowe,pl:zupa"
1418428,http://world-en.openfoodfacts.org/product/5900397735118/kocio%C5%82ek-orientalny-%C5%82owicz,Kociołek Orientalny,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5118/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5118/front_pl.4.200.jpg,68.0,1.0,10.4,6.9,3.2,1.5,"pl:danie-gotowe,pl:zupa"
1418429,http://world-en.openfoodfacts.org/product/5900397735149/kocio%C5%82ek-rosyjski-%C5%82owicz,Kociołek Rosyjski,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5149/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5149/front_pl.4.200.jpg,67.0,1.9,7.9,2.4,3.7,1.4,"en:meals,en:soups,pl:danie-gotowe"
1418430,http://world-en.openfoodfacts.org/product/5900397735170/kocio%C5%82ek-%C5%82owicki-%C5%82owicz,Kociołek Łowicki,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5170/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5170/front_pl.4.200.jpg,71.0,1.7,9.2,1.6,3.6,1.0,"pl:danie-gotowe,pl:zupa"
1418431,http://world-en.openfoodfacts.org/product/5900397735200/kocio%C5%82ek-w%C4%99gierski-%C5%82owicz,Kociołek węgierski,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5200/front_pl.14.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5200/front_pl.14.200.jpg,56.0,1.2,7.1,3.8,3.5,1.4,"pl:danie-gotowe,pl:zupa"
1418434,http://world-en.openfoodfacts.org/product/5900397735316/przecier-pomidorowy-%C5%82owicz,Przecier Pomidorowy,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5316/front_pl.14.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5316/front_pl.14.200.jpg,24.0,0.25,3.75,3.75,1.25,0.15,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:tomatoes-and-their-products,en:strained-tomatoes"
1418435,http://world-en.openfoodfacts.org/product/5900397735330/pulpety-w-sosie-pomidorowym-%C5%82owicz,Pulpety w sosie pomidorowym,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5330/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5330/front_pl.4.200.jpg,92.0,4.5,7.9,1.0,4.7,0.9,"pl:danie-gotowe,pl:zupa"
1418439,http://world-en.openfoodfacts.org/product/5900397735903/powid%C5%82a-w%C4%99gierkowe-rapsodia,Powidła węgierkowe,Rapsodia,Polska,https://images.openfoodfacts.org/images/products/590/039/773/5903/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/5903/front_pl.4.200.jpg,210.0,0.5,49.0,49.0,1.1,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
1418440,http://world-en.openfoodfacts.org/product/5900397736108/flaki-po-zamojsku-wo%C5%82owo-wieprzowe-%C5%82owicz,Flaki po Zamojsku wołowo-wieprzowe,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/6108/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/6108/front_pl.4.200.jpg,47.0,1.2,2.2,0.5,6.6,1.4,"pl:danie-gotowe,pl:zupa"
1418443,http://world-en.openfoodfacts.org/product/5900397736702/barszcz-krakus,BARSZCZ KRAKUS,"Krakus,Agros Nova Food",Poland,https://images.openfoodfacts.org/images/products/590/039/773/6702/front_pl.16.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/6702/front_pl.16.200.jpg,34.0,0.1,7.1,7.0,1.0,1.1,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:vegetable-based-foods-and-beverages,en:juices-and-nectars,en:vegetable-based-beverages,en:vegetable-juices,pl:sok-niegazowany"
1418458,http://world-en.openfoodfacts.org/product/5900397738492/chrzan-krakus,Chrzan,"Krakus,Agro Nova Food",Polska,https://images.openfoodfacts.org/images/products/590/039/773/8492/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/8492/front_pl.4.200.jpg,157.0,9.8,12.0,9.5,2.7,1.4,
1418459,http://world-en.openfoodfacts.org/product/5900397738508/%C4%87wik%C5%82a-z-chrzanem-krakus,Ćwikła z chrzanem,"Krakus,Agro Nova Food",Polska,https://images.openfoodfacts.org/images/products/590/039/773/8508/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/8508/front_pl.4.200.jpg,52.0,0.5,9.1,8.2,1.7,0.59,
1418460,http://world-en.openfoodfacts.org/product/5900397739185/d%C5%BCem-z-czarnego-bzu-rapsodia,Dżem z czarnego bzu,Rapsodia,Poland,https://images.openfoodfacts.org/images/products/590/039/773/9185/front_pl.15.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/9185/front_pl.15.200.jpg,149.0,0.5,35.0,34.0,1.3,0.05,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
1418461,http://world-en.openfoodfacts.org/product/5900397739833/sos-bolo%C5%84ski-z-mi%C4%99sem-mielonym-%C5%82owicz,Sos Boloński z mięsem mielonym,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/9833/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/9833/front_pl.4.200.jpg,73.0,3.2,6.8,5.1,3.0,1.4,"en:groceries,en:sauces"
1418462,http://world-en.openfoodfacts.org/product/5900397739840/sos-pomidorowy-z-boczkiem-%C5%82owicz,Sos pomidorowy z boczkiem,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/9840/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/9840/front_pl.4.200.jpg,72.0,3.0,6.0,6.0,3.8,1.1,"en:groceries,en:sauces"
1418463,http://world-en.openfoodfacts.org/product/5900397739857/sos-chili-con-carne-z-mi%C4%99sem-mielonym-%C5%82owicz,Sos Chili con carne z mięsem mielonym,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/773/9857/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/773/9857/front_pl.4.200.jpg,102.0,5.3,6.4,5.4,4.9,1.4,"en:groceries,en:sauces"
1418466,http://world-en.openfoodfacts.org/product/5900397741911/kasza-j%C4%99czmienna-p%C4%99czak-z-kukurydz%C4%85-i-fasol%C4%85-szparagow%C4%85-%C5%82owicz,Kasza jęczmienna pęczak z kukurydzą i fasolą szparagową,"Łowicz,Kaszotto",Polska,https://images.openfoodfacts.org/images/products/590/039/774/1911/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/774/1911/front_pl.4.200.jpg,164.0,5.0,23.0,5.0,5.0,1.7,"pl:danie-gotowe,pl:dla-wegetarian"
1418467,http://world-en.openfoodfacts.org/product/5900397741935/kasza-bulgur-z-papryk%C4%85-i-czerwon%C4%85-fasol%C4%85-%C5%82owicz,Kasza bulgur z papryką i czerwoną fasolą,"Łowicz,Kaszotto",Polska,https://images.openfoodfacts.org/images/products/590/039/774/1935/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/774/1935/front_pl.4.200.jpg,140.0,4.0,19.0,3.5,4.4,0.94,"pl:danie-gotowe,pl:dla-wegan"
1418468,http://world-en.openfoodfacts.org/product/5900397742062/d%C5%BCem-z-wi%C5%9Bni-%C5%82owicz,Dżem z wiśni,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/774/2062/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/774/2062/front_pl.4.200.jpg,153.0,0.7,35.0,35.0,1.2,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,pl:niskosłodzony"
1418470,http://world-en.openfoodfacts.org/product/5900397742437/d%C5%BCem-z-truskawek-i-limonki-niskos%C5%82odzony-%C5%82owicz,Dżem z truskawek i limonki niskosłodzony.,Łowicz,Polska,https://images.openfoodfacts.org/images/products/590/039/774/2437/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/039/774/2437/front_pl.4.200.jpg,141.0,0.5,34.0,34.0,0.5,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
1418503,http://world-en.openfoodfacts.org/product/5900437002125/pizza-z-szynk%C4%85-g%C5%82%C4%99boko-mro%C5%BCona-rigga,"Pizza z szynką, głęboko mrożona.","Rigga,Dr.Oetker",Polska,https://images.openfoodfacts.org/images/products/590/043/700/2125/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/043/700/2125/front_pl.4.200.jpg,212.0,6.3,30.0,3.6,8.6,1.1,"en:frozen-foods,en:meals,en:pizzas-pies-and-quiches,en:pizzas,en:frozen-pizzas-and-pies,en:frozen-pizzas,pl:produkt-głęboko-mrożony"
1418504,http://world-en.openfoodfacts.org/product/5900437002187/pizza-z-szynk%C4%85-i-pieczarkami-z-sosem-czosnkowym-g%C5%82%C4%99boko-mro%C5%BCona-dr-oetker,"Pizza z szynką i pieczarkami z sosem czosnkowym, głęboko mrożona.",Dr. Oetker,Polska,https://images.openfoodfacts.org/images/products/590/043/700/2187/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/043/700/2187/front_pl.4.200.jpg,206.0,6.9,28.0,3.6,7.6,1.0,"en:frozen-foods,en:meals,en:pizzas-pies-and-quiches,en:pizzas,en:frozen-pizzas-and-pies,en:frozen-pizzas"
1418506,http://world-en.openfoodfacts.org/product/5900437002606/sos-wi%C5%9Bniowy-dr-oetker,Sos Wiśniowy,Dr. Oetker,Polska,,,268.0,0.1,66.3,54.5,0.3,0.02,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:desserts,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,pl:fruit-sauces"
1418507,http://world-en.openfoodfacts.org/product/5900437005010/pizza-z-szynk%C4%85-pieczarkami-i-salami-g%C5%82%C4%99boko-mro%C5%BCona-feliciana,"Pizza z szynką, pieczarkami i salami, głęboko mrożona.",Feliciana,Polska,https://images.openfoodfacts.org/images/products/590/043/700/5010/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/043/700/5010/front_pl.4.200.jpg,238.0,7.3,33.0,3.7,9.6,1.2,"en:frozen-foods,en:meals,en:pizzas-pies-and-quiches,en:pizzas,en:frozen-pizzas-and-pies,en:frozen-pizzas,pl:produkt-głęboko-mrożony"
1418512,http://world-en.openfoodfacts.org/product/5900437005577/pizza-guseppe-z-mi%C4%99sem-wo%C5%82owym-i-warzywami-g%C5%82%C4%99boko-mro%C5%BCona-dr-oetker,"Pizza Guseppe z mięsem wołowym i warzywami, głęboko mrożona",Dr. Oetker,Polska,https://images.openfoodfacts.org/images/products/590/043/700/5577/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/590/043/700/5577/front_pl.4.200.jpg,237.0,11.0,27.0,3.5,7.5,1.2,pl:produkt-głęboko-mrożony
